Course code,Teacher Id,Hours
I-170,19910206-0081,121.0
I-171,19690917-0022,280.0
I-171,19771013-0040,122.0
I-171,19900616-0124,159.0
I-172,19580218-0007,298.0
I-172,19780602-0035,116.0
I-172,19900430-0112,120.0
I-173,19680712-0028,276.0
I-173,19781125-0031,131.0
I-174,19620831-0024,261.0
I-174,19790426-0049,114.0
I-174,19921002-0129,106.0
I-175,19611219-0014,270.0
I-175,19750512-0043,86.0
I-175,19900723-0126,130.0
I-176,19580515-0017,267.0
I-176,19781217-0053,146.0
I-177,19660630-0020,271.0
I-177,19760108-0050,153.0
I-178,19570826-0012,264.0
I-178,19750705-0033,111.0
I-179,19630126-0001,276.0
I-179,19790618-0048,110.0
I-179,19921208-0097,145.0
I-180,19690513-0015,255.0
I-180,19750512-0043,128.0
I-180,19920226-0075,118.0
I-181,19580515-0017,261.0
I-181,19750122-0056,86.0
I-181,19920505-0115,122.0
I-182,19640220-0029,244.0
I-182,19761009-0055,91.0
I-182,19921002-0129,84.0
I-183,19570615-0011,227.0
I-183,19780424-0057,107.0
I-184,19660630-0020,280.0
I-184,19790708-0041,124.0
I-184,19910101-0133,101.0
I-185,19690513-0015,240.0
I-185,19750417-0051,155.0
I-186,19610918-0027,268.0
I-186,19781125-0031,106.0
I-187,19560705-0025,273.0
I-187,19750220-0037,89.0
I-187,19931118-0062,115.0
I-188,19690917-0022,257.0
I-188,19780602-0035,106.0
I-188,19900619-0076,104.0
I-189,19600905-0003,237.0
I-189,19750122-0056,150.0
I-189,19910327-0096,135.0
I-190,19610623-0005,278.0
I-190,19760524-0046,159.0
I-190,19900902-0114,155.0
I-191,19690917-0022,250.0
I-191,19780317-0052,132.0
I-192,19560705-0025,254.0
I-192,19750122-0056,124.0
I-192,19920206-0072,106.0
I-193,19600905-0003,290.0
I-193,19761020-0044,84.0
I-194,19601021-0018,272.0
I-194,19790426-0049,97.0
I-194,19900128-0095,107.0
I-195,19620424-0026,273.0
I-195,19790717-0045,123.0
I-196,19580218-0007,289.0
I-196,19780815-0047,118.0
I-196,19930829-0082,100.0
I-197,19590129-0004,265.0
I-197,19750331-0036,86.0
I-198,19610623-0005,275.0
I-198,19750220-0037,98.0
I-198,19930829-0082,126.0
I-199,19560612-0010,300.0
I-199,19790702-0038,123.0
I-200,19630126-0001,259.0
I-200,19781125-0031,107.0
I-200,19901029-0071,157.0
I-201,19690513-0015,273.0
I-201,19790717-0045,139.0
I-201,19930221-0139,109.0
I-202,19690513-0015,274.0
I-202,19790717-0045,129.0
I-203,19611219-0014,243.0
I-203,19780815-0047,104.0
I-204,19610620-0006,248.0
I-204,19790426-0049,127.0
I-205,19600814-0002,281.0
I-205,19750220-0037,128.0
I-206,19580515-0017,282.0
I-206,19780602-0035,133.0
I-206,19900321-0080,119.0
I-207,19590129-0004,230.0
I-207,19771013-0040,156.0
I-208,19680712-0028,239.0
I-208,19750722-0060,81.0
I-209,19590129-0004,261.0
I-209,19750512-0043,130.0
I-210,19570615-0011,265.0
I-210,19770224-0058,119.0
I-210,19930906-0110,107.0
I-211,19690513-0015,240.0
I-211,19780317-0052,105.0
I-211,19900616-0124,105.0
I-212,19630126-0001,246.0
I-212,19761020-0044,105.0
I-213,19570828-0008,220.0
I-213,19780317-0052,101.0
I-214,19580515-0017,290.0
I-214,19790708-0041,129.0
I-214,19930326-0132,115.0
I-215,19630126-0001,293.0
I-215,19780317-0052,148.0
I-215,19911116-0069,101.0
I-216,19610623-0005,264.0
I-216,19750331-0036,101.0
I-216,19920226-0075,140.0
I-217,19580218-0007,261.0
I-217,19781130-0054,84.0
I-218,19650303-0019,270.0
I-218,19790426-0049,120.0
I-218,19900616-0124,85.0
I-219,19561222-0030,243.0
I-219,19750512-0043,108.0
I-220,19610918-0027,278.0
I-220,19751018-0039,122.0
I-220,19920122-0065,104.0
I-221,19610620-0006,290.0
I-221,19750722-0060,125.0
I-222,19580515-0017,250.0
I-222,19750705-0033,102.0
I-223,19640220-0029,266.0
I-223,19790426-0049,109.0
I-224,19690408-0009,253.0
I-224,19790426-0049,136.0
I-225,19690408-0009,246.0
I-225,19790702-0038,120.0
I-225,19900128-0095,126.0
I-226,19580515-0017,264.0
I-226,19750512-0043,141.0
I-227,19560812-0016,245.0
I-227,19771013-0040,119.0
I-228,19560812-0016,278.0
I-228,19790708-0041,84.0
I-228,19900511-0134,85.0
I-229,19611219-0014,285.0
I-229,19781217-0053,100.0
I-229,19921218-0101,95.0
I-230,19660630-0020,271.0
I-230,19790702-0038,110.0
I-231,19600814-0002,289.0
I-231,19770224-0058,98.0
I-232,19611219-0014,268.0
I-232,19760108-0050,116.0
I-233,19620831-0024,263.0
I-233,19760524-0046,115.0
I-234,19560705-0025,230.0
I-234,19750705-0033,126.0
I-235,19570826-0012,259.0
I-235,19790708-0041,151.0
I-236,19600529-0021,224.0
I-236,19780424-0057,141.0
I-237,19660630-0020,241.0
I-237,19750512-0043,118.0
I-238,19611219-0014,223.0
I-238,19750417-0051,135.0
I-238,19910122-0077,105.0
I-239,19600529-0021,275.0
I-239,19781130-0054,138.0
I-240,19600814-0002,284.0
I-240,19770224-0058,135.0
I-240,19900801-0130,96.0
I-241,19690917-0022,287.0
I-241,19760524-0046,131.0
I-242,19600905-0003,255.0
I-242,19780602-0035,119.0
I-243,19560705-0025,261.0
I-243,19780815-0047,122.0
I-244,19690917-0022,263.0
I-244,19790708-0041,100.0
I-244,19921201-0094,107.0
I-245,19580218-0007,288.0
I-245,19781125-0031,137.0
I-245,19900317-0083,98.0
I-246,19690917-0022,243.0
I-246,19750220-0037,122.0
I-247,19620831-0024,295.0
I-247,19790708-0041,155.0
I-248,19620831-0024,242.0
I-248,19761009-0055,97.0
I-248,19931118-0062,132.0
I-249,19690408-0009,254.0
I-249,19750102-0059,110.0
I-249,19900902-0114,108.0
I-250,19620522-0023,223.0
I-250,19750122-0056,118.0
I-251,19560705-0025,221.0
I-251,19760108-0050,137.0
I-251,19921127-0120,151.0
I-252,19610623-0005,256.0
I-252,19771013-0040,109.0
I-252,19920828-0070,124.0
I-253,19611219-0014,286.0
I-253,19750102-0059,93.0
I-254,19580515-0017,273.0
I-254,19780602-0035,141.0
I-255,19630126-0001,249.0
I-255,19780815-0047,93.0
I-256,19560705-0025,236.0
I-256,19790618-0048,137.0
I-257,19610918-0027,240.0
I-257,19750417-0051,134.0
I-257,19920828-0070,115.0
I-258,19690917-0022,260.0
I-258,19780317-0052,120.0
I-258,19920602-0073,91.0
I-259,19640414-0013,291.0
I-259,19781217-0053,111.0
I-260,19630126-0001,262.0
I-260,19790618-0048,127.0
I-260,19920320-0121,157.0
I-261,19610918-0027,246.0
I-261,19761009-0055,133.0
I-261,19930512-0117,136.0
I-262,19620522-0023,284.0
I-262,19750705-0033,128.0
I-263,19560705-0025,232.0
I-263,19790708-0041,127.0
I-264,19580218-0007,266.0
I-264,19761020-0044,110.0
I-265,19560705-0025,240.0
I-265,19790708-0041,97.0
I-266,19660630-0020,232.0
I-266,19761009-0055,157.0
I-266,19921002-0129,160.0
I-267,19600529-0021,267.0
I-267,19750331-0036,138.0
I-268,19690408-0009,253.0
I-268,19750331-0036,110.0
I-268,19920504-0093,122.0
I-269,19690513-0015,259.0
I-269,19761009-0055,159.0
I-269,19901108-0087,104.0
I-270,19600529-0021,220.0
I-270,19771013-0040,140.0
I-271,19690408-0009,224.0
I-271,19750417-0051,125.0
I-272,19580515-0017,240.0
I-272,19770713-0042,136.0
I-273,19620522-0023,257.0
I-273,19751018-0039,132.0
I-273,19900426-0089,138.0
I-274,19570828-0008,251.0
I-274,19750417-0051,137.0
I-275,19620831-0024,223.0
I-275,19790708-0041,113.0
I-275,19911025-0091,104.0
I-276,19570826-0012,264.0
I-276,19761020-0044,107.0
I-276,19901029-0071,133.0
I-277,19560705-0025,232.0
I-277,19761020-0044,87.0
I-277,19920505-0115,83.0
I-278,19620831-0024,221.0
I-278,19751018-0039,139.0
I-278,19920316-0107,125.0
I-279,19660630-0020,260.0
I-279,19780815-0047,140.0
I-279,19900520-0063,138.0
I-280,19560812-0016,258.0
I-280,19751018-0039,102.0
I-281,19610918-0027,270.0
I-281,19780424-0057,81.0
I-282,19680712-0028,260.0
I-282,19780602-0035,100.0
I-282,19921201-0094,120.0
I-283,19630126-0001,271.0
I-283,19750512-0043,134.0
I-284,19610620-0006,260.0
I-284,19750906-0032,131.0
I-284,19920917-0109,126.0
I-285,19590129-0004,261.0
I-285,19771013-0040,130.0
I-285,19931231-0099,96.0
I-286,19640220-0029,248.0
I-286,19780424-0057,84.0
I-286,19930829-0082,157.0
I-287,19570826-0012,242.0
I-287,19750122-0056,130.0
I-287,19900307-0105,120.0
I-288,19630126-0001,229.0
I-288,19780815-0047,110.0
I-288,19900511-0134,154.0
I-289,19611219-0014,247.0
I-289,19790717-0045,87.0
I-290,19620831-0024,269.0
I-290,19761024-0034,152.0
I-291,19590129-0004,270.0
I-291,19761009-0055,105.0
I-292,19600529-0021,268.0
I-292,19750722-0060,113.0
I-293,19570615-0011,271.0
I-293,19790717-0045,104.0
I-293,19900701-0138,153.0
I-294,19690513-0015,247.0
I-294,19790717-0045,138.0
I-294,19900723-0126,113.0
I-295,19560705-0025,254.0
I-295,19760108-0050,132.0
I-295,19931212-0079,151.0
I-296,19680712-0028,262.0
I-296,19780815-0047,152.0
I-297,19620522-0023,275.0
I-297,19750705-0033,139.0
I-297,19910327-0096,109.0
I-298,19680712-0028,260.0
I-298,19750906-0032,117.0
I-299,19580515-0017,245.0
I-299,19771013-0040,107.0
I-299,19930228-0086,106.0
I-300,19570615-0011,266.0
I-300,19781217-0053,118.0
I-301,19601021-0018,241.0
I-301,19781125-0031,135.0
I-301,19931231-0099,124.0
I-302,19600529-0021,251.0
I-302,19781125-0031,141.0
I-302,19910206-0081,88.0
I-303,19640220-0029,270.0
I-303,19750122-0056,104.0
I-304,19680712-0028,255.0
I-304,19760108-0050,133.0
I-304,19900801-0130,124.0
I-305,19620831-0024,261.0
I-305,19750722-0060,89.0
I-305,19910404-0102,100.0
I-306,19650303-0019,292.0
I-306,19790708-0041,118.0
I-307,19570615-0011,259.0
I-307,19790717-0045,147.0
I-307,19910822-0122,99.0
I-308,19560705-0025,233.0
I-308,19790618-0048,84.0
I-308,19900616-0124,85.0
I-309,19620831-0024,259.0
I-309,19790708-0041,119.0
I-309,19900317-0083,83.0
I-310,19600814-0002,240.0
I-310,19790708-0041,94.0
I-311,19610918-0027,226.0
I-311,19770713-0042,125.0
I-311,19930221-0139,105.0
I-312,19590129-0004,251.0
I-312,19790708-0041,156.0
I-313,19560705-0025,252.0
I-313,19780815-0047,160.0
I-314,19680712-0028,255.0
I-314,19790717-0045,140.0
I-315,19600814-0002,260.0
I-315,19750331-0036,156.0
I-315,19900701-0138,143.0
I-316,19690513-0015,268.0
I-316,19781125-0031,109.0
I-317,19620522-0023,255.0
I-317,19761020-0044,122.0
I-318,19580515-0017,293.0
I-318,19760108-0050,160.0
I-319,19590129-0004,241.0
I-319,19790618-0048,129.0
I-319,19911116-0069,147.0
I-320,19600529-0021,281.0
I-320,19780317-0052,105.0
I-320,19900317-0083,109.0
I-321,19560812-0016,234.0
I-321,19790618-0048,127.0
I-322,19650303-0019,273.0
I-322,19761024-0034,88.0
I-323,19570828-0008,269.0
I-323,19780317-0052,124.0
I-324,19601021-0018,245.0
I-324,19780317-0052,111.0
I-324,19900119-0104,102.0
I-325,19660630-0020,236.0
I-325,19781217-0053,122.0
I-326,19570828-0008,233.0
I-326,19760108-0050,101.0
I-326,19900430-0112,136.0
I-327,19580515-0017,300.0
I-327,19761020-0044,116.0
I-328,19620424-0026,253.0
I-328,19790702-0038,127.0
I-328,19900511-0134,81.0
I-329,19580515-0017,250.0
I-329,19750417-0051,129.0
I-329,19910122-0077,81.0
I-330,19620831-0024,250.0
I-330,19750512-0043,146.0
I-330,19910927-0128,118.0
I-331,19660630-0020,221.0
I-331,19780317-0052,119.0
I-331,19900909-0123,137.0
I-332,19570826-0012,266.0
I-332,19790708-0041,108.0
I-333,19611219-0014,273.0
I-333,19760108-0050,107.0
I-333,19910404-0102,91.0
I-334,19570615-0011,291.0
I-334,19790426-0049,132.0
I-335,19610620-0006,248.0
I-335,19750122-0056,90.0
I-336,19600529-0021,256.0
I-336,19790702-0038,93.0
I-336,19910404-0102,125.0
I-337,19600905-0003,256.0
I-337,19781130-0054,114.0
I-337,19900723-0126,147.0
I-338,19580515-0017,245.0
I-338,19790708-0041,138.0
I-339,19561222-0030,290.0
I-339,19750122-0056,133.0
I-340,19610623-0005,271.0
I-340,19750906-0032,110.0
I-340,19910921-0136,102.0
I-341,19561222-0030,227.0
I-341,19750417-0051,147.0
I-342,19680712-0028,249.0
I-342,19780317-0052,120.0
I-342,19910403-0103,138.0
I-343,19690917-0022,245.0
I-343,19780602-0035,86.0
I-344,19640414-0013,246.0
I-344,19750122-0056,87.0
I-344,19921208-0097,118.0
I-345,19560812-0016,285.0
I-345,19790618-0048,104.0
I-346,19570828-0008,232.0
I-346,19751018-0039,124.0
I-346,19920828-0070,86.0
I-347,19600529-0021,231.0
I-347,19770224-0058,130.0
I-348,19570615-0011,264.0
I-348,19780317-0052,109.0
I-349,19640414-0013,235.0
I-349,19760524-0046,138.0
I-350,19650303-0019,269.0
I-350,19780317-0052,132.0
I-350,19920316-0107,140.0
I-351,19611219-0014,246.0
I-351,19750417-0051,116.0
I-352,19610620-0006,237.0
I-352,19760524-0046,108.0
I-352,19930919-0137,144.0
I-353,19600905-0003,289.0
I-353,19790426-0049,160.0
I-353,19900307-0105,112.0
I-354,19690513-0015,300.0
I-354,19780815-0047,148.0
I-354,19930508-0061,80.0
I-355,19611219-0014,238.0
I-355,19750705-0033,112.0
I-355,19930906-0110,118.0
I-356,19570615-0011,267.0
I-356,19761020-0044,126.0
I-356,19910122-0077,118.0
I-357,19570615-0011,265.0
I-357,19750705-0033,81.0
I-357,19900201-0074,148.0
I-358,19560612-0010,269.0
I-358,19750906-0032,155.0
I-358,19900701-0138,118.0
I-359,19660630-0020,278.0
I-359,19780815-0047,133.0
I-360,19601021-0018,284.0
I-360,19750417-0051,120.0
I-361,19561222-0030,232.0
I-361,19760108-0050,130.0
I-362,19590129-0004,273.0
I-362,19761024-0034,121.0
I-362,19910820-0078,140.0
I-363,19610623-0005,251.0
I-363,19790618-0048,139.0
I-363,19900430-0112,101.0
I-364,19680712-0028,257.0
I-364,19790702-0038,87.0
I-364,19910421-0067,131.0
I-365,19600529-0021,274.0
I-365,19750220-0037,156.0
I-366,19620522-0023,272.0
I-366,19750417-0051,111.0
I-367,19640220-0029,263.0
I-367,19750122-0056,106.0
I-367,19920504-0093,149.0
I-368,19600905-0003,252.0
I-368,19790426-0049,105.0
I-368,19901219-0125,123.0
I-369,19610623-0005,252.0
I-369,19750705-0033,158.0
I-369,19930919-0137,128.0
I-370,19600905-0003,277.0
I-370,19781130-0054,120.0
I-370,19930508-0061,136.0
I-371,19650303-0019,221.0
I-371,19750102-0059,137.0
I-371,19901029-0071,103.0
I-372,19690917-0022,234.0
I-372,19750122-0056,154.0
I-373,19610620-0006,297.0
I-373,19780317-0052,149.0
