Course Instance,Student id,Status,Grade
I-3899,19860222-0007,completed,4.0
I-4226,19860222-0007,completed,3.0
I-4015,19860222-0007,completed,3.0
I-4016,19860222-0007,completed,3.0
I-4018,19860222-0007,completed,3.0
I-4324,19860222-0007,completed,3.0
I-4017,19860222-0007,completed,3.0
I-4024,19860222-0007,completed,4.0
I-1100,19860222-0007,completed,5.0
I-4020,19860222-0007,completed,3.0
I-5179,19860222-0007,completed,5.0
I-5,19861018-0009,completed,5.0
I-3993,19861018-0009,completed,3.0
I-5360,19861018-0009,completed,4.0
I-5359,19861018-0009,completed,5.0
I-535,19860829-0010,completed,5.0
I-5255,19860829-0010,completed,4.0
I-960,19860829-0010,completed,5.0
I-5257,19860829-0010,completed,4.0
I-3891,19860829-0010,completed,5.0
I-5368,19860829-0010,completed,4.0
I-5369,19860829-0010,completed,3.0
I-1182,19860829-0010,completed,3.0
I-1058,19850527-0011,completed,5.0
I-1059,19850527-0011,completed,3.0
I-1490,19850527-0011,completed,5.0
I-2638,19850527-0011,completed,4.0
I-4732,19850527-0011,completed,3.0
I-1069,19850527-0011,completed,3.0
I-323,19850527-0011,completed,5.0
I-1389,19850527-0011,completed,5.0
I-1067,19850527-0011,completed,5.0
I-4835,19850527-0011,completed,5.0
I-1181,19850527-0011,completed,3.0
I-865,19850527-0011,completed,5.0
I-1183,19850527-0011,completed,4.0
I-1185,19850527-0011,completed,3.0
I-230,19850527-0011,completed,3.0
I-759,19850527-0011,completed,3.0
I-545,19850527-0011,completed,3.0
I-1188,19850527-0011,completed,3.0
I-2756,19891217-0012,completed,4.0
I-1495,19891217-0012,completed,3.0
I-3077,19891217-0012,completed,3.0
I-4633,19891217-0012,completed,4.0
I-5277,19891217-0012,completed,4.0
I-3175,19891217-0012,completed,5.0
I-4964,19891217-0012,completed,3.0
I-3179,19891217-0012,completed,4.0
I-3288,19891217-0012,completed,3.0
I-5396,19891217-0012,completed,5.0
I-2253,19891217-0012,completed,5.0
I-3291,19891217-0012,completed,4.0
I-423,19861017-0014,completed,5.0
I-424,19861017-0014,completed,3.0
I-427,19861017-0014,completed,4.0
I-5488,19861017-0014,completed,4.0
I-2654,19861017-0014,completed,3.0
I-541,19861017-0014,completed,3.0
I-540,19861017-0014,completed,5.0
I-542,19861017-0014,completed,5.0
I-5150,19870714-0017,completed,5.0
I-4730,19870714-0017,completed,5.0
I-2638,19870714-0017,completed,4.0
I-1065,19870714-0017,completed,5.0
I-1394,19870714-0017,completed,5.0
I-1284,19870714-0017,completed,3.0
I-5059,19870714-0017,completed,5.0
I-759,19870714-0017,completed,3.0
I-4405,19850426-0018,completed,3.0
I-4839,19850426-0018,completed,3.0
I-4409,19850426-0018,completed,4.0
I-4407,19850426-0018,completed,3.0
I-2339,19850426-0018,completed,5.0
I-4410,19850426-0018,completed,4.0
I-3881,19850426-0018,completed,3.0
I-2335,19850426-0018,completed,5.0
I-4522,19850426-0018,completed,4.0
I-5056,19850426-0018,completed,5.0
I-3372,19850426-0018,completed,5.0
I-4215,19850426-0018,completed,5.0
I-4511,19870816-0019,completed,5.0
I-4515,19870816-0019,completed,3.0
I-4512,19870816-0019,completed,4.0
I-3060,19870816-0019,completed,4.0
I-5263,19880404-0020,completed,3.0
I-2131,19880404-0020,completed,4.0
I-5267,19880404-0020,completed,3.0
I-5268,19880404-0020,completed,3.0
I-876,19880404-0020,completed,3.0
I-3896,19880404-0020,completed,3.0
I-5381,19880404-0020,completed,4.0
I-5387,19880404-0020,completed,3.0
I-543,19891130-0023,completed,5.0
I-4629,19891130-0023,completed,5.0
I-4630,19891130-0023,completed,4.0
I-4631,19891130-0023,completed,5.0
I-5069,19891130-0023,completed,3.0
I-4748,19891130-0023,completed,5.0
I-4753,19891130-0023,completed,4.0
I-4747,19891130-0023,completed,5.0
I-27,19891130-0023,completed,3.0
I-4751,19891130-0023,completed,5.0
I-4125,19891130-0023,completed,5.0
I-4863,19891130-0023,completed,5.0
I-3905,19891130-0023,completed,3.0
I-5077,19891130-0023,completed,3.0
I-5150,19860208-0024,completed,3.0
I-5151,19860208-0024,completed,3.0
I-5154,19860208-0024,completed,4.0
I-2642,19860208-0024,completed,3.0
I-3999,19851213-0025,completed,4.0
I-4633,19851213-0025,completed,5.0
I-2969,19851213-0025,completed,3.0
I-1809,19851213-0025,completed,5.0
I-4425,19851213-0025,completed,4.0
I-4859,19851213-0025,completed,4.0
I-3690,19851213-0025,completed,3.0
I-5386,19851213-0025,completed,3.0
I-4541,19851213-0025,completed,3.0
I-4543,19851213-0025,completed,4.0
I-246,19851213-0025,completed,3.0
I-5079,19851213-0025,completed,4.0
I-428,19870512-0028,completed,5.0
I-317,19870512-0028,completed,4.0
I-3063,19870512-0028,completed,3.0
I-3370,19870512-0028,completed,4.0
I-3477,19870512-0028,completed,3.0
I-3479,19870512-0028,completed,5.0
I-3790,19870512-0028,completed,3.0
I-3483,19870512-0028,completed,5.0
I-4955,19870215-0031,completed,4.0
I-3280,19870215-0031,completed,3.0
I-5066,19870215-0031,completed,3.0
I-4960,19870215-0031,completed,3.0
I-4963,19870215-0031,completed,4.0
I-3177,19870215-0031,completed,4.0
I-4958,19870215-0031,completed,5.0
I-441,19870215-0031,completed,3.0
I-2450,19870215-0031,completed,4.0
I-345,19870215-0031,completed,5.0
I-4868,19870215-0031,completed,3.0
I-5074,19870215-0031,completed,5.0
I-5075,19870215-0031,completed,4.0
I-4137,19870215-0031,completed,5.0
I-5189,19870215-0031,completed,5.0
I-52,19870215-0031,completed,5.0
I-3400,19870215-0031,completed,4.0
I-4210,19881204-0033,completed,4.0
I-2649,19881204-0033,completed,5.0
I-2646,19881204-0033,completed,3.0
I-2445,19881204-0033,completed,3.0
I-5388,19881204-0033,completed,4.0
I-2765,19881204-0033,completed,5.0
I-3183,19881204-0033,completed,5.0
I-2356,19881204-0033,completed,3.0
I-2764,19881204-0033,completed,3.0
I-2772,19881204-0033,completed,4.0
I-3795,19881204-0033,completed,4.0
I-1610,19881204-0033,completed,5.0
I-2769,19881204-0033,completed,3.0
I-1405,19881204-0033,completed,3.0
I-3079,19890416-0034,completed,5.0
I-1402,19890416-0034,completed,3.0
I-3081,19890416-0034,completed,4.0
I-879,19890416-0034,completed,4.0
I-2366,19890416-0034,completed,5.0
I-4236,19890416-0034,completed,3.0
I-5186,19890416-0034,completed,3.0
I-2566,19890416-0034,completed,5.0
I-3295,19890416-0034,completed,4.0
I-3711,19890416-0034,completed,4.0
I-3297,19890416-0034,completed,5.0
I-691,19890416-0034,completed,3.0
I-3364,19891011-0035,completed,5.0
I-317,19891011-0035,completed,3.0
I-3365,19891011-0035,completed,3.0
I-3369,19891011-0035,completed,3.0
I-3169,19891011-0035,completed,4.0
I-3790,19891011-0035,completed,4.0
I-1287,19891011-0035,completed,5.0
I-1597,19891011-0035,completed,5.0
I-2756,19890927-0036,completed,3.0
I-2550,19890927-0036,completed,5.0
I-2026,19890927-0036,completed,4.0
I-3072,19890927-0036,completed,4.0
I-5277,19890927-0036,completed,5.0
I-2245,19890927-0036,completed,5.0
I-4964,19890927-0036,completed,3.0
I-3179,19890927-0036,completed,5.0
I-3176,19890927-0036,completed,3.0
I-1712,19890927-0036,completed,5.0
I-1294,19890927-0036,completed,5.0
I-4639,19890927-0036,completed,5.0
I-3180,19890927-0036,completed,5.0
I-3184,19890927-0036,completed,3.0
I-3288,19890927-0036,completed,5.0
I-249,19890927-0036,completed,4.0
I-2989,19890927-0036,completed,3.0
I-3291,19890927-0036,completed,3.0
I-1904,19870422-0037,completed,4.0
I-2013,19870422-0037,completed,4.0
I-1909,19870422-0037,completed,4.0
I-1906,19870422-0037,completed,5.0
I-756,19870422-0037,completed,3.0
I-2646,19870422-0037,completed,4.0
I-4422,19870422-0037,completed,5.0
I-11,19870422-0037,completed,4.0
I-2026,19870422-0037,completed,3.0
I-2878,19870422-0037,completed,4.0
I-5279,19870422-0037,completed,5.0
I-2139,19870422-0037,completed,4.0
I-3698,19870422-0037,completed,3.0
I-237,19881020-0039,completed,4.0
I-666,19881020-0039,completed,3.0
I-667,19881020-0039,completed,3.0
I-2032,19881020-0039,completed,3.0
I-5072,19881020-0039,completed,5.0
I-247,19881020-0039,completed,5.0
I-4761,19881020-0039,completed,5.0
I-783,19881020-0039,completed,5.0
I-890,19881020-0039,completed,3.0
I-4136,19881020-0039,completed,4.0
I-2786,19881020-0039,completed,4.0
I-893,19881020-0039,completed,3.0
I-1291,19881216-0040,completed,3.0
I-4113,19881216-0040,completed,4.0
I-2770,19881216-0040,completed,5.0
I-4749,19881216-0040,completed,3.0
I-2776,19881216-0040,completed,3.0
I-4324,19881216-0040,completed,5.0
I-3907,19881216-0040,completed,4.0
I-5187,19881216-0040,completed,4.0
I-1415,19881216-0040,completed,4.0
I-1417,19881216-0040,completed,4.0
I-3291,19881216-0040,completed,5.0
I-1421,19881216-0040,completed,3.0
I-1420,19881216-0040,completed,4.0
I-1200,19881216-0040,completed,4.0
I-2873,19870720-0041,completed,3.0
I-2876,19870720-0041,completed,3.0
I-2874,19870720-0041,completed,4.0
I-557,19870720-0041,completed,4.0
I-5065,19870720-0041,completed,3.0
I-2878,19870720-0041,completed,5.0
I-2882,19870720-0041,completed,5.0
I-978,19870720-0041,completed,5.0
I-2879,19870720-0041,completed,5.0
I-2986,19870720-0041,completed,5.0
I-3495,19870720-0041,completed,4.0
I-2988,19870720-0041,completed,4.0
I-3293,19870720-0041,completed,4.0
I-5043,19880818-0043,completed,4.0
I-3160,19880818-0043,completed,3.0
I-5045,19880818-0043,completed,5.0
I-5051,19880818-0043,completed,5.0
I-2441,19880818-0043,completed,4.0
I-2969,19880818-0043,completed,5.0
I-5165,19880818-0043,completed,4.0
I-3784,19880818-0043,completed,4.0
I-325,19880204-0045,completed,4.0
I-2341,19880204-0045,completed,5.0
I-867,19880204-0045,completed,3.0
I-5489,19880204-0045,completed,5.0
I-25,19880204-0045,completed,5.0
I-442,19880204-0045,completed,4.0
I-443,19880204-0045,completed,5.0
I-444,19880204-0045,completed,3.0
I-885,19880204-0045,completed,3.0
I-3393,19880204-0045,completed,5.0
I-2674,19880204-0045,completed,3.0
I-678,19880204-0045,completed,4.0
I-2746,19880807-0046,completed,5.0
I-3570,19880807-0046,completed,5.0
I-1905,19880807-0046,completed,3.0
I-2749,19880807-0046,completed,5.0
I-3677,19890219-0047,completed,5.0
I-5152,19890219-0047,completed,5.0
I-2434,19890219-0047,completed,3.0
I-1274,19890219-0047,completed,5.0
I-2547,19890219-0047,completed,4.0
I-2548,19890219-0047,completed,5.0
I-4103,19890219-0047,completed,5.0
I-3071,19890219-0047,completed,4.0
I-4099,19870412-0048,completed,5.0
I-5044,19870412-0048,completed,5.0
I-643,19870412-0048,completed,3.0
I-4098,19870412-0048,completed,3.0
I-3370,19870412-0048,completed,5.0
I-644,19870412-0048,completed,4.0
I-647,19870412-0048,completed,5.0
I-755,19870412-0048,completed,4.0
I-2333,19870412-0048,completed,4.0
I-646,19870412-0048,completed,5.0
I-758,19870412-0048,completed,4.0
I-762,19870412-0048,completed,5.0
I-2135,19870412-0048,completed,3.0
I-127,19870412-0048,completed,5.0
I-134,19870412-0048,completed,4.0
I-3080,19870412-0048,completed,4.0
I-879,19870412-0048,completed,5.0
I-874,19870412-0048,completed,5.0
I-873,19870412-0048,completed,3.0
I-5273,19870412-0048,completed,3.0
I-3689,19870412-0048,completed,4.0
I-669,19870412-0048,completed,4.0
I-3277,19870412-0048,completed,3.0
I-872,19870412-0048,completed,5.0
I-11,19860119-0049,completed,4.0
I-12,19860119-0049,completed,5.0
I-331,19860119-0049,completed,5.0
I-15,19860119-0049,completed,5.0
I-130,19860119-0049,completed,4.0
I-5388,19860119-0049,completed,3.0
I-1511,19860119-0049,completed,4.0
I-768,19860119-0049,completed,3.0
I-4542,19860119-0049,completed,4.0
I-248,19860119-0049,completed,3.0
I-560,19860119-0049,completed,3.0
I-3187,19860119-0049,completed,4.0
I-2034,19880522-0050,completed,5.0
I-4122,19880522-0050,completed,5.0
I-2249,19880522-0050,completed,5.0
I-3590,19880522-0050,completed,4.0
I-345,19880522-0050,completed,3.0
I-247,19880522-0050,completed,3.0
I-1422,19880522-0050,completed,5.0
I-4761,19880522-0050,completed,5.0
I-2055,19880522-0050,completed,5.0
I-891,19880522-0050,completed,3.0
I-3917,19880522-0050,completed,3.0
I-51,19880522-0050,completed,4.0
I-959,19851109-0051,completed,3.0
I-2337,19851109-0051,completed,3.0
I-2434,19851109-0051,completed,5.0
I-1067,19851109-0051,completed,4.0
I-2547,19851109-0051,completed,3.0
I-2548,19851109-0051,completed,3.0
I-4103,19851109-0051,completed,5.0
I-2550,19851109-0051,completed,4.0
I-1700,19890611-0052,completed,3.0
I-1701,19890611-0052,completed,5.0
I-1704,19890611-0052,completed,5.0
I-3269,19890611-0052,completed,3.0
I-2026,19890611-0052,completed,5.0
I-1396,19890611-0052,completed,3.0
I-3076,19890611-0052,completed,5.0
I-2868,19890611-0052,completed,4.0
I-1811,19890611-0052,completed,3.0
I-4860,19890611-0052,completed,3.0
I-1814,19890611-0052,completed,4.0
I-1813,19890611-0052,completed,4.0
I-1815,19890611-0052,completed,3.0
I-2449,19890611-0052,completed,3.0
I-5380,19890611-0052,completed,5.0
I-2979,19890611-0052,completed,5.0
I-4936,19870427-0056,completed,4.0
I-2861,19870427-0056,completed,4.0
I-219,19870427-0056,completed,3.0
I-5261,19870427-0056,completed,3.0
I-4525,19870427-0056,completed,3.0
I-2021,19870427-0056,completed,5.0
I-662,19870427-0056,completed,5.0
I-4311,19870427-0056,completed,3.0
I-4854,19870427-0056,completed,4.0
I-5172,19870427-0056,completed,4.0
I-5382,19870427-0056,completed,4.0
I-5177,19870427-0056,completed,3.0
I-4946,19861117-0057,completed,5.0
I-4947,19861117-0057,completed,5.0
I-3073,19861117-0057,completed,4.0
I-4949,19861117-0057,completed,4.0
I-4953,19861117-0057,completed,4.0
I-4951,19861117-0057,completed,4.0
I-4423,19861117-0057,completed,4.0
I-4948,19861117-0057,completed,3.0
I-1080,19861117-0057,completed,3.0
I-5063,19861117-0057,completed,3.0
I-5065,19861117-0057,completed,4.0
I-5381,19861117-0057,completed,5.0
I-5179,19861117-0057,completed,4.0
I-5180,19861117-0057,completed,5.0
I-2147,19861117-0057,completed,4.0
I-984,19861117-0057,completed,3.0
I-565,19861117-0057,completed,3.0
I-1305,19861117-0057,completed,3.0
I-5184,19861117-0057,completed,3.0
I-3187,19861117-0057,completed,4.0
I-534,19891109-0058,completed,4.0
I-2637,19891109-0058,completed,3.0
I-2641,19891109-0058,completed,5.0
I-1382,19891109-0058,completed,4.0
I-2233,19891109-0058,completed,5.0
I-22,19891109-0058,completed,3.0
I-2757,19891109-0058,completed,3.0
I-2761,19891109-0058,completed,5.0
I-5385,19890705-0059,completed,3.0
I-3584,19890705-0059,completed,5.0
I-136,19890705-0059,completed,4.0
I-3586,19890705-0059,completed,5.0
I-3699,19890705-0059,completed,3.0
I-2990,19890705-0059,completed,4.0
I-2364,19890705-0059,completed,3.0
I-3702,19890705-0059,completed,3.0
I-2232,19860128-0061,completed,4.0
I-2348,19860128-0061,completed,3.0
I-2235,19860128-0061,completed,4.0
I-5169,19860128-0061,completed,4.0
I-2350,19860128-0061,completed,3.0
I-2351,19860128-0061,completed,4.0
I-2353,19860128-0061,completed,5.0
I-1512,19860128-0061,completed,3.0
I-4310,19850704-0062,completed,3.0
I-3072,19850704-0062,completed,3.0
I-1498,19850704-0062,completed,4.0
I-1499,19850704-0062,completed,4.0
I-5274,19850704-0062,completed,4.0
I-1610,19850704-0062,completed,5.0
I-1608,19850704-0062,completed,5.0
I-871,19850704-0062,completed,3.0
I-225,19860412-0063,completed,3.0
I-4731,19860412-0063,completed,3.0
I-640,19860412-0063,completed,3.0
I-1383,19860412-0063,completed,5.0
I-3467,19870918-0064,completed,3.0
I-2956,19870918-0064,completed,3.0
I-2119,19870918-0064,completed,4.0
I-2959,19870918-0064,completed,4.0
I-4638,19880307-0065,completed,3.0
I-1088,19880307-0065,completed,4.0
I-4643,19880307-0065,completed,5.0
I-2138,19880307-0065,completed,4.0
I-4640,19880307-0065,completed,3.0
I-4649,19880307-0065,completed,4.0
I-4645,19880307-0065,completed,4.0
I-3184,19880307-0065,completed,4.0
I-4644,19880307-0065,completed,3.0
I-2244,19880307-0065,completed,3.0
I-3907,19880307-0065,completed,5.0
I-4755,19880307-0065,completed,4.0
I-4757,19880307-0065,completed,5.0
I-4756,19880307-0065,completed,5.0
I-1951,19880307-0065,completed,3.0
I-3195,19880307-0065,completed,3.0
I-155,19880307-0065,completed,5.0
I-3303,19880307-0065,completed,5.0
I-4644,19861216-0066,completed,5.0
I-5278,19861216-0066,completed,5.0
I-3178,19861216-0066,completed,3.0
I-1711,19861216-0066,completed,5.0
I-1725,19861216-0066,completed,3.0
I-989,19861216-0066,completed,4.0
I-4541,19861216-0066,completed,4.0
I-1821,19861216-0066,completed,3.0
I-1298,19850124-0067,completed,4.0
I-3382,19850124-0067,completed,4.0
I-3384,19850124-0067,completed,5.0
I-4531,19850124-0067,completed,3.0
I-2362,19850124-0067,completed,3.0
I-5392,19850124-0067,completed,4.0
I-3070,19880118-0068,completed,3.0
I-3071,19880118-0068,completed,3.0
I-3997,19880118-0068,completed,3.0
I-1703,19880118-0068,completed,4.0
I-3174,19880118-0068,completed,5.0
I-3175,19880118-0068,completed,3.0
I-3179,19880118-0068,completed,3.0
I-3185,19880118-0068,completed,3.0
I-3288,19880118-0068,completed,4.0
I-3290,19880118-0068,completed,5.0
I-5396,19880118-0068,completed,4.0
I-4650,19880118-0068,completed,5.0
I-1273,19870727-0069,completed,4.0
I-2543,19870727-0069,completed,5.0
I-1278,19870727-0069,completed,5.0
I-3069,19870727-0069,completed,3.0
I-3788,19870727-0069,completed,5.0
I-1392,19870727-0069,completed,4.0
I-1397,19870727-0069,completed,3.0
I-1399,19870727-0069,completed,4.0
I-1395,19870727-0069,completed,4.0
I-1394,19870727-0069,completed,4.0
I-2762,19870727-0069,completed,4.0
I-1398,19870727-0069,completed,3.0
I-1922,19851126-0070,completed,4.0
I-1923,19851126-0070,completed,4.0
I-1924,19851126-0070,completed,5.0
I-1925,19851126-0070,completed,4.0
I-676,19851126-0070,completed,4.0
I-2038,19851126-0070,completed,3.0
I-1304,19851126-0070,completed,3.0
I-2041,19851126-0070,completed,4.0
I-1215,19851126-0070,completed,4.0
I-2157,19851126-0070,completed,3.0
I-4239,19851126-0070,completed,5.0
I-4240,19851126-0070,completed,3.0
I-11,19850522-0072,completed,5.0
I-12,19850522-0072,completed,3.0
I-16,19850522-0072,completed,4.0
I-15,19850522-0072,completed,3.0
I-660,19850522-0072,completed,3.0
I-3273,19850522-0072,completed,3.0
I-19,19850522-0072,completed,5.0
I-2240,19850522-0072,completed,3.0
I-1705,19850522-0072,completed,5.0
I-22,19850522-0072,completed,5.0
I-130,19850522-0072,completed,4.0
I-2763,19850522-0072,completed,3.0
I-1511,19850522-0072,completed,3.0
I-133,19850522-0072,completed,5.0
I-246,19850522-0072,completed,4.0
I-249,19850522-0072,completed,5.0
I-560,19850522-0072,completed,4.0
I-5186,19850522-0072,completed,3.0
I-3467,19861115-0074,completed,3.0
I-4937,19861115-0074,completed,4.0
I-4938,19861115-0074,completed,4.0
I-119,19861115-0074,completed,5.0
I-4525,19861115-0074,completed,5.0
I-5054,19861115-0074,completed,5.0
I-2869,19861115-0074,completed,3.0
I-4744,19861115-0074,completed,3.0
I-2768,19861115-0074,completed,5.0
I-1088,19861115-0074,completed,3.0
I-3488,19861115-0074,completed,4.0
I-5173,19861115-0074,completed,5.0
I-1494,19890622-0076,completed,3.0
I-3997,19890622-0076,completed,5.0
I-329,19890622-0076,completed,4.0
I-1500,19890622-0076,completed,5.0
I-1607,19890622-0076,completed,4.0
I-3697,19890622-0076,completed,3.0
I-1608,19890622-0076,completed,3.0
I-1613,19890622-0076,completed,4.0
I-4101,19850206-0077,completed,4.0
I-4632,19850206-0077,completed,5.0
I-2969,19850206-0077,completed,3.0
I-4111,19850206-0077,completed,3.0
I-4217,19850206-0077,completed,4.0
I-5177,19850206-0077,completed,5.0
I-4006,19850206-0077,completed,5.0
I-4963,19850206-0077,completed,4.0
I-4405,19860516-0078,completed,4.0
I-3776,19860516-0078,completed,3.0
I-2339,19860516-0078,completed,5.0
I-4409,19860516-0078,completed,5.0
I-4522,19860516-0078,completed,3.0
I-4523,19860516-0078,completed,3.0
I-3271,19860516-0078,completed,5.0
I-1285,19860516-0078,completed,3.0
I-2640,19891104-0079,completed,5.0
I-1795,19891104-0079,completed,3.0
I-1385,19891104-0079,completed,4.0
I-3778,19891104-0079,completed,5.0
I-1587,19870128-0080,completed,5.0
I-1588,19870128-0080,completed,3.0
I-1591,19870128-0080,completed,5.0
I-1176,19870128-0080,completed,5.0
I-754,19870128-0080,completed,5.0
I-1595,19870128-0080,completed,5.0
I-1596,19870128-0080,completed,4.0
I-5156,19870128-0080,completed,3.0
I-1592,19870128-0080,completed,4.0
I-1797,19870507-0082,completed,3.0
I-641,19870507-0082,completed,4.0
I-4098,19870507-0082,completed,4.0
I-647,19870507-0082,completed,5.0
I-758,19870507-0082,completed,4.0
I-764,19870507-0082,completed,3.0
I-760,19870507-0082,completed,5.0
I-126,19870507-0082,completed,3.0
I-5276,19870507-0082,completed,5.0
I-4322,19870507-0082,completed,5.0
I-879,19870507-0082,completed,4.0
I-980,19870507-0082,completed,5.0
I-1914,19870308-0083,completed,4.0
I-2442,19870308-0083,completed,5.0
I-1917,19870308-0083,completed,5.0
I-3481,19870308-0083,completed,3.0
I-2027,19870308-0083,completed,3.0
I-4959,19870308-0083,completed,4.0
I-4005,19870308-0083,completed,4.0
I-2033,19870308-0083,completed,4.0
I-32,19870308-0083,completed,3.0
I-5075,19870308-0083,completed,3.0
I-248,19870308-0083,completed,3.0
I-2148,19870308-0083,completed,3.0
I-3583,19851112-0084,completed,4.0
I-3584,19851112-0084,completed,5.0
I-136,19851112-0084,completed,4.0
I-3586,19851112-0084,completed,4.0
I-3699,19851112-0084,completed,5.0
I-3912,19851112-0084,completed,5.0
I-2364,19851112-0084,completed,3.0
I-40,19851112-0084,completed,4.0
I-4936,19861015-0085,completed,3.0
I-4937,19861015-0085,completed,4.0
I-4938,19861015-0085,completed,5.0
I-4939,19861015-0085,completed,3.0
I-5052,19861015-0085,completed,5.0
I-3271,19861015-0085,completed,3.0
I-5370,19861015-0085,completed,4.0
I-5053,19861015-0085,completed,5.0
I-4635,19861015-0085,completed,3.0
I-2442,19861015-0085,completed,5.0
I-967,19861015-0085,completed,3.0
I-5057,19861015-0085,completed,3.0
I-1184,19861015-0085,completed,5.0
I-1195,19861015-0085,completed,5.0
I-5171,19861015-0085,completed,3.0
I-4530,19861015-0085,completed,4.0
I-3687,19861015-0085,completed,4.0
I-4405,19870304-0086,completed,3.0
I-4839,19870304-0086,completed,4.0
I-3,19870304-0086,completed,3.0
I-4407,19870304-0086,completed,3.0
I-2434,19870304-0086,completed,5.0
I-3881,19870304-0086,completed,5.0
I-3990,19870304-0086,completed,5.0
I-3264,19870304-0086,completed,5.0
I-4522,19870304-0086,completed,3.0
I-3372,19870304-0086,completed,5.0
I-4744,19870304-0086,completed,4.0
I-5052,19870304-0086,completed,5.0
I-3260,19870901-0087,completed,3.0
I-3261,19870901-0087,completed,3.0
I-3262,19870901-0087,completed,5.0
I-5361,19870901-0087,completed,5.0
I-4936,19870813-0088,completed,5.0
I-2120,19870813-0088,completed,3.0
I-2957,19870813-0088,completed,4.0
I-2119,19870813-0088,completed,4.0
I-2337,19871013-0089,completed,3.0
I-2748,19871013-0089,completed,4.0
I-3773,19871013-0089,completed,3.0
I-1799,19871013-0089,completed,3.0
I-756,19871013-0089,completed,4.0
I-1173,19871013-0089,completed,5.0
I-1913,19871013-0089,completed,4.0
I-2646,19871013-0089,completed,4.0
I-4422,19871013-0089,completed,5.0
I-3271,19871013-0089,completed,3.0
I-2025,19871013-0089,completed,5.0
I-2878,19871013-0089,completed,4.0
I-2138,19871013-0089,completed,3.0
I-2142,19871013-0089,completed,4.0
I-2144,19871013-0089,completed,4.0
I-543,19881120-0090,completed,3.0
I-4629,19881120-0090,completed,5.0
I-4630,19881120-0090,completed,5.0
I-3577,19881120-0090,completed,5.0
I-5069,19881120-0090,completed,5.0
I-4750,19881120-0090,completed,5.0
I-2563,19881120-0090,completed,3.0
I-4748,19881120-0090,completed,3.0
I-27,19881120-0090,completed,3.0
I-4752,19881120-0090,completed,3.0
I-1294,19881120-0090,completed,4.0
I-2565,19881120-0090,completed,4.0
I-3905,19881120-0090,completed,3.0
I-5077,19881120-0090,completed,4.0
I-4865,19881120-0090,completed,4.0
I-3999,19870209-0091,completed,3.0
I-5373,19870209-0091,completed,4.0
I-4633,19870209-0091,completed,4.0
I-5162,19870209-0091,completed,5.0
I-4425,19870209-0091,completed,3.0
I-1930,19870209-0091,completed,5.0
I-4426,19870209-0091,completed,3.0
I-4427,19870209-0091,completed,5.0
I-1823,19870209-0091,completed,5.0
I-4543,19870209-0091,completed,3.0
I-4544,19870209-0091,completed,3.0
I-4546,19870209-0091,completed,5.0
I-3158,19870921-0092,completed,5.0
I-3159,19870921-0092,completed,5.0
I-3163,19870921-0092,completed,5.0
I-3162,19870921-0092,completed,3.0
