Course code,Study period,Academic year,Instance_id,Examiner
1137,2.0,2023-2024,I-110,19611219-0014
1082,4.0,2023-2024,I-111,19580515-0017
1265,1.0,2013-2014,I-112,19561222-0030
1213,3.0,2013-2014,I-113,19590129-0004
1085,3.0,2013-2014,I-114,19561222-0030
1075,1.0,2013-2014,I-115,19620424-0026
1272,2.0,2013-2014,I-116,19601021-0018
1139,3.0,2013-2014,I-117,19650303-0019
1101,1.0,2013-2014,I-118,19570615-0011
1098,4.0,2013-2014,I-119,19561222-0030
1083,1.0,2013-2014,I-120,19680712-0028
1185,3.0,2014-2015,I-121,19560705-0025
1271,2.0,2014-2015,I-122,19690408-0009
1258,3.0,2014-2015,I-123,19600529-0021
1073,2.0,2014-2015,I-124,19690917-0022
1065,3.0,2014-2015,I-125,19580515-0017
1218,4.0,2014-2015,I-126,19570828-0008
1208,4.0,2014-2015,I-127,19690917-0022
1100,3.0,2014-2015,I-128,19580515-0017
1090,1.0,2014-2015,I-129,19620424-0026
1221,2.0,2015-2016,I-130,19600905-0003
1073,4.0,2015-2016,I-131,19570828-0008
1230,4.0,2015-2016,I-132,19610620-0006
1208,4.0,2015-2016,I-133,19600905-0003
1201,3.0,2015-2016,I-134,19560812-0016
1199,4.0,2015-2016,I-135,19680712-0028
1144,3.0,2015-2016,I-136,19610918-0027
1086,4.0,2015-2016,I-137,19601021-0018
1040,2.0,2015-2016,I-138,19600814-0002
1011,1.0,2015-2016,I-139,19680712-0028
1258,3.0,2016-2017,I-140,19561222-0030
1284,2.0,2016-2017,I-141,19690408-0009
1094,1.0,2016-2017,I-142,19560612-0010
1008,3.0,2016-2017,I-143,19601021-0018
1250,1.0,2016-2017,I-144,19611219-0014
1197,1.0,2016-2017,I-145,19640414-0013
1176,4.0,2016-2017,I-146,19620522-0023
1011,2.0,2016-2017,I-147,19690513-0015
1240,3.0,2017-2018,I-148,19570828-0008
1194,2.0,2017-2018,I-149,19640414-0013
1208,4.0,2017-2018,I-150,19600905-0003
1158,1.0,2017-2018,I-151,19620424-0026
1133,2.0,2017-2018,I-152,19601021-0018
1060,2.0,2017-2018,I-153,19690513-0015
1257,2.0,2017-2018,I-154,19560812-0016
1201,2.0,2017-2018,I-155,19580218-0007
1169,4.0,2017-2018,I-156,19600905-0003
1081,1.0,2017-2018,I-157,19580515-0017
1066,3.0,2017-2018,I-158,19561222-0030
1021,4.0,2017-2018,I-159,19680712-0028
1276,2.0,2018-2019,I-160,19600905-0003
1129,3.0,2018-2019,I-161,19561222-0030
1117,1.0,2018-2019,I-162,19640414-0013
1116,1.0,2018-2019,I-163,19610918-0027
1048,1.0,2018-2019,I-164,19601021-0018
1248,3.0,2018-2019,I-165,19561222-0030
1235,1.0,2018-2019,I-166,19630126-0001
1204,2.0,2018-2019,I-167,19600905-0003
1153,2.0,2018-2019,I-168,19640220-0029
1076,2.0,2018-2019,I-169,19611219-0014
1108,1.0,2019-2020,I-170,19610620-0006
1077,1.0,2019-2020,I-171,19590129-0004
1024,4.0,2019-2020,I-172,19660630-0020
1014,4.0,2019-2020,I-173,19580515-0017
1234,2.0,2019-2020,I-174,19590129-0004
1224,1.0,2019-2020,I-175,19620522-0023
1202,4.0,2019-2020,I-176,19561222-0030
1200,4.0,2019-2020,I-177,19560612-0010
1025,4.0,2019-2020,I-178,19580218-0007
1048,2.0,2020-2021,I-179,19610918-0027
1196,1.0,2020-2021,I-180,19640220-0029
1194,2.0,2020-2021,I-181,19560812-0016
1107,1.0,2020-2021,I-182,19680712-0028
1096,2.0,2020-2021,I-183,19560705-0025
1258,1.0,2020-2021,I-184,19560612-0010
1182,2.0,2020-2021,I-185,19570826-0012
1158,4.0,2020-2021,I-186,19600905-0003
1130,4.0,2020-2021,I-187,19570615-0011
1064,2.0,2020-2021,I-188,19630126-0001
1142,4.0,2021-2022,I-189,19601021-0018
1287,2.0,2021-2022,I-190,19570615-0011
1206,2.0,2021-2022,I-191,19601021-0018
1236,1.0,2021-2022,I-192,19610620-0006
1178,3.0,2021-2022,I-193,19570826-0012
1029,3.0,2021-2022,I-194,19640414-0013
1024,2.0,2021-2022,I-195,19610918-0027
1007,2.0,2021-2022,I-196,19570826-0012
1286,4.0,2022-2023,I-197,19570826-0012
1187,4.0,2022-2023,I-198,19560812-0016
1222,4.0,2022-2023,I-199,19560705-0025
1040,4.0,2022-2023,I-200,19620831-0024
1275,4.0,2022-2023,I-201,19620522-0023
1210,1.0,2022-2023,I-202,19560612-0010
1194,2.0,2022-2023,I-203,19561222-0030
1191,4.0,2022-2023,I-204,19560612-0010
1037,4.0,2022-2023,I-205,19620831-0024
1017,2.0,2022-2023,I-206,19560612-0010
1163,3.0,2023-2024,I-207,19620424-0026
1146,2.0,2023-2024,I-208,19690917-0022
1035,2.0,2023-2024,I-209,19620424-0026
1010,2.0,2023-2024,I-210,19640414-0013
1011,3.0,2023-2024,I-211,19580515-0017
1294,4.0,2023-2024,I-212,19561222-0030
1283,3.0,2023-2024,I-213,19640220-0029
1184,3.0,2023-2024,I-214,19640220-0029
1180,4.0,2023-2024,I-215,19620424-0026
1236,1.0,2013-2014,I-216,19640220-0029
1093,4.0,2013-2014,I-217,19630126-0001
1255,2.0,2013-2014,I-218,19600529-0021
1235,1.0,2013-2014,I-219,19650303-0019
1140,3.0,2013-2014,I-220,19560705-0025
1266,3.0,2013-2014,I-221,19650303-0019
1160,2.0,2013-2014,I-222,19600905-0003
1135,1.0,2013-2014,I-223,19630126-0001
1100,3.0,2013-2014,I-224,19560612-0010
1037,3.0,2013-2014,I-225,19561222-0030
1034,2.0,2013-2014,I-226,19640220-0029
1255,2.0,2014-2015,I-227,19680712-0028
1033,1.0,2014-2015,I-228,19630126-0001
1023,3.0,2014-2015,I-229,19590129-0004
1220,1.0,2014-2015,I-230,19620424-0026
1149,3.0,2014-2015,I-231,19600529-0021
1098,1.0,2014-2015,I-232,19580218-0007
1076,2.0,2014-2015,I-233,19560705-0025
1032,3.0,2014-2015,I-234,19630126-0001
1168,4.0,2015-2016,I-235,19650303-0019
1149,1.0,2015-2016,I-236,19640220-0029
1146,1.0,2015-2016,I-237,19580515-0017
1103,1.0,2015-2016,I-238,19611219-0014
1008,3.0,2015-2016,I-239,19640220-0029
1233,4.0,2015-2016,I-240,19680712-0028
1205,3.0,2015-2016,I-241,19620522-0023
1190,4.0,2015-2016,I-242,19610918-0027
1067,2.0,2015-2016,I-243,19570828-0008
1049,2.0,2015-2016,I-244,19570828-0008
1009,1.0,2015-2016,I-245,19620424-0026
1128,2.0,2016-2017,I-246,19690513-0015
1222,3.0,2016-2017,I-247,19610623-0005
1122,1.0,2016-2017,I-248,19680712-0028
1120,1.0,2016-2017,I-249,19561222-0030
1273,1.0,2016-2017,I-250,19570828-0008
1182,1.0,2016-2017,I-251,19690408-0009
1150,3.0,2016-2017,I-252,19600905-0003
1052,3.0,2016-2017,I-253,19690408-0009
1248,3.0,2017-2018,I-254,19570615-0011
1221,1.0,2017-2018,I-255,19640220-0029
1048,4.0,2017-2018,I-256,19611219-0014
1025,1.0,2017-2018,I-257,19570615-0011
1238,3.0,2017-2018,I-258,19620424-0026
1211,1.0,2017-2018,I-259,19560705-0025
1117,3.0,2017-2018,I-260,19680712-0028
1072,2.0,2017-2018,I-261,19611219-0014
1013,4.0,2018-2019,I-262,19560705-0025
1273,4.0,2018-2019,I-263,19610918-0027
1230,3.0,2018-2019,I-264,19580218-0007
1079,3.0,2018-2019,I-265,19610620-0006
1237,3.0,2018-2019,I-266,19610620-0006
1205,2.0,2018-2019,I-267,19570826-0012
1197,4.0,2018-2019,I-268,19580515-0017
1185,1.0,2018-2019,I-269,19580515-0017
1058,2.0,2018-2019,I-270,19601021-0018
1043,4.0,2018-2019,I-271,19600814-0002
1049,3.0,2019-2020,I-272,19610620-0006
1205,2.0,2019-2020,I-273,19690408-0009
1152,2.0,2019-2020,I-274,19650303-0019
1055,2.0,2019-2020,I-275,19660630-0020
1292,4.0,2019-2020,I-276,19560812-0016
1189,1.0,2019-2020,I-277,19610623-0005
1170,1.0,2019-2020,I-278,19610918-0027
1118,2.0,2019-2020,I-279,19570828-0008
1090,1.0,2019-2020,I-280,19640220-0029
1073,4.0,2019-2020,I-281,19560705-0025
1077,4.0,2020-2021,I-282,19650303-0019
1213,2.0,2020-2021,I-283,19580218-0007
1199,3.0,2020-2021,I-284,19600529-0021
1049,1.0,2020-2021,I-285,19560705-0025
1222,1.0,2020-2021,I-286,19611219-0014
1192,1.0,2020-2021,I-287,19620831-0024
1164,4.0,2020-2021,I-288,19560612-0010
1113,2.0,2020-2021,I-289,19560612-0010
1031,2.0,2020-2021,I-290,19640414-0013
1276,3.0,2021-2022,I-291,19600905-0003
1207,3.0,2021-2022,I-292,19640414-0013
1118,1.0,2021-2022,I-293,19570615-0011
1217,4.0,2021-2022,I-294,19690513-0015
1162,3.0,2021-2022,I-295,19570615-0011
1072,4.0,2021-2022,I-296,19660630-0020
1064,1.0,2021-2022,I-297,19580218-0007
1184,3.0,2022-2023,I-298,19630126-0001
1218,4.0,2022-2023,I-299,19680712-0028
1066,1.0,2022-2023,I-300,19600814-0002
1272,3.0,2022-2023,I-301,19600814-0002
1190,2.0,2022-2023,I-302,19610623-0005
1131,1.0,2022-2023,I-303,19600814-0002
1125,3.0,2022-2023,I-304,19690408-0009
1046,1.0,2022-2023,I-305,19560812-0016
1070,1.0,2023-2024,I-306,19560705-0025
1009,4.0,2023-2024,I-307,19610620-0006
1290,4.0,2023-2024,I-308,19580515-0017
1173,2.0,2023-2024,I-309,19620424-0026
1004,3.0,2023-2024,I-310,19570828-0008
1296,4.0,2023-2024,I-311,19560612-0010
1240,4.0,2023-2024,I-312,19600814-0002
1160,2.0,2023-2024,I-313,19590129-0004
1158,3.0,2023-2024,I-314,19611219-0014
1115,2.0,2023-2024,I-315,19560612-0010
1022,4.0,2023-2024,I-316,19680712-0028
1162,3.0,2013-2014,I-317,19610623-0005
1240,2.0,2013-2014,I-318,19570615-0011
1101,2.0,2013-2014,I-319,19600814-0002
1093,1.0,2013-2014,I-320,19690513-0015
1262,4.0,2013-2014,I-321,19690513-0015
1208,3.0,2013-2014,I-322,19601021-0018
1199,2.0,2013-2014,I-323,19560705-0025
1083,2.0,2013-2014,I-324,19560612-0010
1121,1.0,2014-2015,I-325,19611219-0014
1211,2.0,2014-2015,I-326,19640414-0013
1171,4.0,2014-2015,I-327,19570826-0012
1267,1.0,2014-2015,I-328,19611219-0014
1263,4.0,2014-2015,I-329,19690917-0022
1160,1.0,2014-2015,I-330,19620522-0023
1108,4.0,2014-2015,I-331,19600905-0003
1087,3.0,2014-2015,I-332,19580218-0007
1083,4.0,2014-2015,I-333,19611219-0014
1178,3.0,2015-2016,I-334,19611219-0014
1218,4.0,2015-2016,I-335,19600529-0021
1200,1.0,2015-2016,I-336,19610620-0006
1107,4.0,2015-2016,I-337,19560705-0025
1047,3.0,2015-2016,I-338,19570826-0012
1293,3.0,2015-2016,I-339,19570615-0011
1263,4.0,2015-2016,I-340,19620522-0023
1262,1.0,2015-2016,I-341,19570826-0012
1106,2.0,2015-2016,I-342,19600905-0003
1291,1.0,2016-2017,I-343,19610620-0006
1028,3.0,2016-2017,I-344,19680712-0028
1265,3.0,2016-2017,I-345,19680712-0028
1224,3.0,2016-2017,I-346,19561222-0030
1209,3.0,2016-2017,I-347,19570828-0008
1059,2.0,2016-2017,I-348,19590129-0004
1283,2.0,2016-2017,I-349,19611219-0014
1258,3.0,2016-2017,I-350,19560812-0016
1115,1.0,2016-2017,I-351,19640414-0013
1031,4.0,2016-2017,I-352,19601021-0018
1295,3.0,2017-2018,I-353,19610620-0006
1031,4.0,2017-2018,I-354,19600814-0002
1297,1.0,2017-2018,I-355,19610918-0027
1271,1.0,2017-2018,I-356,19580218-0007
1084,3.0,2017-2018,I-357,19690917-0022
1253,4.0,2017-2018,I-358,19611219-0014
1166,2.0,2017-2018,I-359,19610623-0005
1155,2.0,2017-2018,I-360,19620424-0026
1088,2.0,2017-2018,I-361,19580515-0017
1077,2.0,2017-2018,I-362,19680712-0028
1104,4.0,2018-2019,I-363,19610620-0006
1040,2.0,2018-2019,I-364,19610620-0006
1256,2.0,2018-2019,I-365,19580515-0017
1233,3.0,2018-2019,I-366,19640414-0013
1184,4.0,2018-2019,I-367,19560612-0010
1253,1.0,2018-2019,I-368,19690513-0015
1189,3.0,2018-2019,I-369,19650303-0019
1092,2.0,2018-2019,I-370,19600529-0021
1015,1.0,2018-2019,I-371,19650303-0019
1006,4.0,2018-2019,I-372,19680712-0028
1224,3.0,2019-2020,I-373,19640414-0013
1193,4.0,2019-2020,I-374,19600529-0021
1142,2.0,2019-2020,I-375,19600814-0002
1022,2.0,2019-2020,I-376,19580515-0017
1289,1.0,2019-2020,I-377,19640220-0029
1274,1.0,2019-2020,I-378,19660630-0020
1152,3.0,2019-2020,I-379,19680712-0028
1145,2.0,2019-2020,I-380,19630126-0001
1136,4.0,2019-2020,I-381,19560812-0016
1127,2.0,2019-2020,I-382,19590129-0004
1218,4.0,2020-2021,I-383,19640414-0013
1186,4.0,2020-2021,I-384,19610620-0006
1228,4.0,2020-2021,I-385,19690513-0015
1151,3.0,2020-2021,I-386,19610620-0006
1109,3.0,2020-2021,I-387,19630126-0001
1094,3.0,2020-2021,I-388,19610620-0006
1264,4.0,2020-2021,I-389,19690513-0015
1137,1.0,2020-2021,I-390,19690513-0015
1105,3.0,2020-2021,I-391,19560705-0025
1063,2.0,2020-2021,I-392,19590129-0004
1047,1.0,2020-2021,I-393,19660630-0020
1045,3.0,2020-2021,I-394,19600529-0021
1224,3.0,2021-2022,I-395,19630126-0001
1055,1.0,2021-2022,I-396,19620522-0023
1236,2.0,2021-2022,I-397,19610918-0027
1166,4.0,2021-2022,I-398,19560812-0016
1047,2.0,2021-2022,I-399,19630126-0001
1249,2.0,2021-2022,I-400,19620424-0026
1149,4.0,2021-2022,I-401,19580515-0017
1073,1.0,2021-2022,I-402,19590129-0004
1045,1.0,2021-2022,I-403,19680712-0028
1110,4.0,2022-2023,I-404,19690513-0015
1251,3.0,2022-2023,I-405,19570615-0011
1234,1.0,2022-2023,I-406,19580218-0007
1102,1.0,2022-2023,I-407,19610623-0005
1049,3.0,2022-2023,I-408,19640220-0029
1242,1.0,2022-2023,I-409,19610620-0006
1116,2.0,2022-2023,I-410,19601021-0018
1087,3.0,2022-2023,I-411,19690513-0015
1070,4.0,2022-2023,I-412,19600814-0002
1069,2.0,2022-2023,I-413,19580218-0007
1257,1.0,2023-2024,I-414,19580515-0017
1232,2.0,2023-2024,I-415,19600905-0003
1114,1.0,2023-2024,I-416,19600814-0002
1076,3.0,2023-2024,I-417,19570615-0011
1278,2.0,2023-2024,I-418,19650303-0019
1261,3.0,2023-2024,I-419,19620831-0024
1127,2.0,2023-2024,I-420,19660630-0020
1126,3.0,2023-2024,I-421,19620831-0024
1099,2.0,2023-2024,I-422,19601021-0018
1236,4.0,2013-2014,I-423,19620522-0023
1233,2.0,2013-2014,I-424,19611219-0014
1183,3.0,2013-2014,I-425,19610918-0027
1112,1.0,2013-2014,I-426,19610620-0006
1083,4.0,2013-2014,I-427,19610623-0005
1296,2.0,2013-2014,I-428,19640220-0029
1248,1.0,2013-2014,I-429,19600905-0003
1149,2.0,2013-2014,I-430,19570826-0012
1066,4.0,2013-2014,I-431,19570826-0012
1035,4.0,2013-2014,I-432,19630126-0001
1155,1.0,2014-2015,I-433,19590129-0004
1100,1.0,2014-2015,I-434,19590129-0004
1050,4.0,2014-2015,I-435,19690513-0015
1044,2.0,2014-2015,I-436,19640414-0013
1288,2.0,2014-2015,I-437,19650303-0019
1257,2.0,2014-2015,I-438,19560612-0010
1113,3.0,2014-2015,I-439,19630126-0001
1009,2.0,2014-2015,I-440,19610620-0006
1269,1.0,2015-2016,I-441,19580218-0007
1138,2.0,2015-2016,I-442,19690513-0015
1251,1.0,2015-2016,I-443,19680712-0028
1242,1.0,2015-2016,I-444,19610620-0006
1293,1.0,2015-2016,I-445,19630126-0001
1248,1.0,2015-2016,I-446,19560612-0010
1198,2.0,2015-2016,I-447,19650303-0019
1170,3.0,2015-2016,I-448,19640414-0013
1143,1.0,2015-2016,I-449,19650303-0019
1121,2.0,2015-2016,I-450,19680712-0028
1131,3.0,2016-2017,I-451,19570615-0011
1294,2.0,2016-2017,I-452,19600905-0003
1218,3.0,2016-2017,I-453,19590129-0004
1138,4.0,2016-2017,I-454,19600814-0002
1080,4.0,2016-2017,I-455,19570615-0011
1281,2.0,2016-2017,I-456,19610620-0006
1247,2.0,2016-2017,I-457,19600814-0002
1146,1.0,2016-2017,I-458,19560705-0025
1119,2.0,2016-2017,I-459,19620424-0026
1240,4.0,2017-2018,I-460,19560705-0025
1192,4.0,2017-2018,I-461,19580218-0007
1252,2.0,2017-2018,I-462,19570826-0012
1230,4.0,2017-2018,I-463,19690408-0009
1221,2.0,2017-2018,I-464,19611219-0014
1010,4.0,2017-2018,I-465,19560705-0025
1284,3.0,2017-2018,I-466,19610623-0005
1203,1.0,2017-2018,I-467,19570615-0011
1170,3.0,2017-2018,I-468,19580218-0007
1145,3.0,2017-2018,I-469,19590129-0004
1131,4.0,2017-2018,I-470,19610918-0027
1046,2.0,2017-2018,I-471,19630126-0001
1185,1.0,2018-2019,I-472,19690408-0009
1090,4.0,2018-2019,I-473,19570826-0012
1082,3.0,2018-2019,I-474,19620831-0024
1290,4.0,2018-2019,I-475,19620831-0024
1291,1.0,2018-2019,I-476,19610620-0006
1267,2.0,2018-2019,I-477,19610620-0006
1182,1.0,2018-2019,I-478,19690408-0009
1044,4.0,2018-2019,I-479,19690917-0022
1030,4.0,2018-2019,I-480,19640414-0013
1236,1.0,2019-2020,I-481,19570615-0011
1062,4.0,2019-2020,I-482,19570615-0011
1260,4.0,2019-2020,I-483,19620522-0023
1168,3.0,2019-2020,I-484,19690513-0015
1089,2.0,2019-2020,I-485,19620522-0023
1080,2.0,2019-2020,I-486,19630126-0001
1299,1.0,2019-2020,I-487,19630126-0001
1291,3.0,2019-2020,I-488,19570828-0008
1286,1.0,2019-2020,I-489,19690513-0015
1156,3.0,2019-2020,I-490,19620522-0023
1144,3.0,2019-2020,I-491,19640220-0029
1015,3.0,2019-2020,I-492,19560612-0010
1218,1.0,2020-2021,I-493,19690917-0022
1135,2.0,2020-2021,I-494,19630126-0001
1240,1.0,2020-2021,I-495,19640414-0013
1089,2.0,2020-2021,I-496,19680712-0028
1285,2.0,2020-2021,I-497,19600529-0021
1264,3.0,2020-2021,I-498,19630126-0001
1217,3.0,2020-2021,I-499,19560812-0016
1199,4.0,2020-2021,I-500,19561222-0030
1167,3.0,2020-2021,I-501,19561222-0030
1057,4.0,2020-2021,I-502,19630126-0001
1210,1.0,2021-2022,I-503,19570615-0011
1296,2.0,2021-2022,I-504,19610620-0006
1282,1.0,2021-2022,I-505,19610918-0027
1175,2.0,2021-2022,I-506,19660630-0020
1118,1.0,2021-2022,I-507,19690513-0015
1278,3.0,2021-2022,I-508,19601021-0018
1133,2.0,2021-2022,I-509,19620831-0024
1098,3.0,2021-2022,I-510,19650303-0019
1081,4.0,2021-2022,I-511,19561222-0030
1057,3.0,2021-2022,I-512,19600814-0002
1242,2.0,2022-2023,I-513,19680712-0028
1167,1.0,2022-2023,I-514,19690408-0009
1202,3.0,2022-2023,I-515,19640220-0029
1148,1.0,2022-2023,I-516,19680712-0028
1239,2.0,2022-2023,I-517,19680712-0028
1122,3.0,2022-2023,I-518,19570826-0012
1060,4.0,2022-2023,I-519,19610623-0005
1022,1.0,2022-2023,I-520,19620424-0026
1020,4.0,2022-2023,I-521,19690917-0022
1222,4.0,2023-2024,I-522,19600529-0021
1251,3.0,2023-2024,I-523,19570828-0008
1191,2.0,2023-2024,I-524,19680712-0028
1022,1.0,2023-2024,I-525,19640220-0029
1188,4.0,2023-2024,I-526,19580218-0007
1155,1.0,2023-2024,I-527,19640220-0029
1048,3.0,2023-2024,I-528,19560812-0016
1004,1.0,2023-2024,I-529,19560612-0010
1203,1.0,2013-2014,I-530,19620424-0026
1174,1.0,2013-2014,I-531,19590129-0004
1268,3.0,2013-2014,I-532,19560612-0010
1176,2.0,2013-2014,I-533,19690513-0015
1046,4.0,2013-2014,I-534,19560705-0025
1291,4.0,2013-2014,I-535,19680712-0028
1081,3.0,2013-2014,I-536,19690408-0009
1060,1.0,2013-2014,I-537,19690917-0022
1042,3.0,2013-2014,I-538,19611219-0014
1164,2.0,2014-2015,I-539,19690408-0009
1234,1.0,2014-2015,I-540,19600814-0002
1112,3.0,2014-2015,I-541,19610918-0027
1045,4.0,2014-2015,I-542,19590129-0004
1272,2.0,2014-2015,I-543,19580218-0007
1206,2.0,2014-2015,I-544,19690917-0022
1152,1.0,2014-2015,I-545,19600814-0002
1090,2.0,2014-2015,I-546,19560705-0025
1014,2.0,2014-2015,I-547,19560612-0010
1263,3.0,2015-2016,I-548,19640414-0013
1037,2.0,2015-2016,I-549,19560812-0016
1081,4.0,2015-2016,I-550,19610623-0005
1080,2.0,2015-2016,I-551,19610620-0006
1067,1.0,2015-2016,I-552,19601021-0018
1012,1.0,2015-2016,I-553,19570828-0008
1191,1.0,2015-2016,I-554,19600814-0002
1103,4.0,2015-2016,I-555,19600814-0002
1055,4.0,2015-2016,I-556,19601021-0018
1051,1.0,2015-2016,I-557,19600905-0003
1044,1.0,2015-2016,I-558,19650303-0019
1243,2.0,2016-2017,I-559,19560612-0010
1273,1.0,2016-2017,I-560,19620522-0023
1211,4.0,2016-2017,I-561,19640414-0013
1172,4.0,2016-2017,I-562,19610623-0005
1134,2.0,2016-2017,I-563,19690408-0009
1281,2.0,2016-2017,I-564,19620424-0026
1269,3.0,2016-2017,I-565,19690408-0009
1173,1.0,2016-2017,I-566,19690513-0015
1168,4.0,2016-2017,I-567,19600905-0003
1152,2.0,2016-2017,I-568,19620831-0024
1078,3.0,2016-2017,I-569,19560705-0025
1239,2.0,2017-2018,I-570,19580515-0017
1228,2.0,2017-2018,I-571,19570826-0012
1184,2.0,2017-2018,I-572,19600905-0003
1130,3.0,2017-2018,I-573,19620522-0023
1112,1.0,2017-2018,I-574,19620424-0026
1028,2.0,2017-2018,I-575,19660630-0020
1280,3.0,2017-2018,I-576,19650303-0019
1260,1.0,2017-2018,I-577,19560705-0025
1234,2.0,2017-2018,I-578,19610620-0006
1172,2.0,2017-2018,I-579,19560705-0025
1024,1.0,2017-2018,I-580,19611219-0014
1136,2.0,2018-2019,I-581,19630126-0001
