Student name,Student id,Programme,Year,Graduated
Student 35,19890416-0034,10051,2015,True
Student 36,19891011-0035,10052,2013,True
Student 37,19890927-0036,10051,2014,True
Student 38,19870422-0037,10032,2013,True
Student 39,19871023-0038,10034,2010,True
Student 40,19881020-0039,10012,2015,True
Student 41,19881216-0040,10014,2015,True
Student 42,19870720-0041,10042,2015,True
Student 43,19870421-0042,10033,2011,True
Student 44,19880818-0043,10073,2012,True
Student 45,19870414-0044,10011,2010,True
Student 46,19880204-0045,10011,2014,True
Student 47,19880807-0046,10041,2012,True
Student 48,19890219-0047,10034,2013,True
Student 49,19870412-0048,10012,2013,True
Student 50,19860119-0049,10001,2014,True
Student 51,19880522-0050,10012,2015,True
Student 52,19851109-0051,10034,2013,True
Student 53,19890611-0052,10031,2014,True
Student 54,19860118-0053,10073,2010,True
Student 55,19850504-0054,10053,2011,True
Student 56,19890302-0055,10032,2010,True
Student 57,19870427-0056,10073,2013,True
Student 58,19861117-0057,10073,2014,True
Student 59,19891109-0058,10041,2013,True
Student 60,19890705-0059,10053,2015,True
Student 61,19891221-0060,10033,2010,True
Student 62,19860128-0061,10033,2014,True
Student 63,19850704-0062,10021,2014,True
Student 64,19860412-0063,10031,2012,True
Student 65,19870918-0064,10042,2012,True
Student 66,19880307-0065,10072,2015,True
Student 67,19861216-0066,10031,2015,True
Student 68,19850124-0067,10052,2015,True
Student 69,19880118-0068,10051,2014,True
Student 70,19870727-0069,10014,2013,True
Student 71,19851126-0070,10032,2015,True
Student 72,19861011-0071,10011,2010,True
Student 73,19850522-0072,10001,2014,True
Student 74,19871111-0073,10012,2010,True
Student 75,19861115-0074,10073,2013,True
Student 76,19890303-0075,10034,2010,True
Student 77,19890622-0076,10021,2014,True
Student 78,19850206-0077,10061,2014,True
Student 79,19860516-0078,10071,2012,True
Student 80,19891104-0079,10014,2012,True
Student 81,19870128-0080,10021,2012,True
Student 82,19850709-0081,10074,2011,True
Student 83,19870507-0082,10012,2013,True
Student 84,19870308-0083,10032,2014,True
Student 85,19851112-0084,10053,2015,True
Student 86,19861015-0085,10073,2013,True
Student 87,19870304-0086,10071,2012,True
Student 88,19870901-0087,10051,2011,True
Student 89,19870813-0088,10042,2012,True
Student 90,19871013-0089,10032,2013,True
Student 91,19881120-0090,10072,2014,True
Student 92,19870209-0091,10071,2014,True
Student 93,19870921-0092,10051,2012,True
Student 94,19890202-0093,10014,2014,True
Student 95,19890106-0094,10011,2010,True
Student 96,19870418-0095,10031,2011,True
Student 97,19870304-0096,10011,2010,True
Student 98,19860321-0097,10041,2015,True
Student 99,19871019-0098,10071,2010,True
Student 100,19871128-0099,10074,2012,True
TA 31,19781125-0031,10052,2005,True
TA 32,19750906-0032,10052,2000,True
TA 33,19750705-0033,10014,2005,True
TA 34,19761024-0034,10053,2000,True
TA 35,19780602-0035,10053,2008,True
TA 36,19750331-0036,10021,2004,True
TA 37,19750220-0037,10041,2008,True
TA 38,19790702-0038,10011,2014,True
TA 39,19751018-0039,10061,2009,True
TA 40,19771013-0040,10061,2005,True
TA 41,19790708-0041,10021,2011,True
TA 42,19770713-0042,10014,2005,True
TA 43,19750512-0043,10074,2010,True
TA 44,19761020-0044,10042,2008,True
TA 45,19790717-0045,10053,2012,True
TA 46,19760524-0046,10033,2005,True
TA 47,19780815-0047,10061,2013,True
TA 48,19790618-0048,10053,2002,True
TA 49,19790426-0049,10034,2013,True
TA 50,19760108-0050,10034,2005,True
TA 51,19750417-0051,10053,2000,True
TA 52,19780317-0052,10041,2013,True
TA 53,19781217-0053,10052,2000,True
TA 54,19781130-0054,10034,2014,True
TA 55,19761009-0055,10011,2012,True
TA 56,19750122-0056,10033,2012,True
TA 57,19780424-0057,10041,2003,True
TA 58,19770224-0058,10014,2013,True
TA 59,19750102-0059,10041,2004,True
TA 60,19750722-0060,10031,2000,True
TA 61,19930508-0061,10051,2021,False
TA 62,19931118-0062,10012,2016,False
TA 63,19900520-0063,10074,2020,False
TA 64,19900124-0064,10011,2016,False
TA 65,19920122-0065,10021,2016,False
TA 66,19931203-0066,10053,2016,False
TA 67,19910421-0067,10032,2021,False
TA 68,19910514-0068,10074,2017,False
TA 69,19911116-0069,10042,2021,False
TA 70,19920828-0070,10042,2019,False
TA 71,19901029-0071,10033,2017,False
TA 72,19920206-0072,10034,2018,False
TA 73,19920602-0073,10041,2020,False
TA 74,19900201-0074,10011,2016,False
TA 75,19920226-0075,10021,2016,False
TA 76,19900619-0076,10053,2016,False
TA 77,19910122-0077,10052,2017,False
TA 78,19910820-0078,10021,2017,False
TA 79,19931212-0079,10042,2016,False
TA 80,19900321-0080,10013,2020,False
TA 81,19910206-0081,10014,2016,False
TA 82,19930829-0082,10011,2017,False
TA 83,19900317-0083,10054,2017,False
TA 84,19910214-0084,10031,2021,False
TA 85,19901002-0085,10031,2017,False
TA 86,19930228-0086,10011,2016,False
TA 87,19901108-0087,10051,2020,False
TA 88,19920826-0088,10034,2021,False
TA 89,19900426-0089,10053,2021,False
TA 90,19900902-0090,10071,2021,False
TA 91,19911025-0091,10051,2016,False
TA 92,19910817-0092,10053,2019,False
TA 93,19920504-0093,10014,2019,False
TA 94,19921201-0094,10012,2019,False
TA 95,19900128-0095,10031,2018,False
TA 96,19910327-0096,10013,2021,False
TA 97,19921208-0097,10071,2020,False
TA 98,19920217-0098,10072,2020,False
TA 99,19931231-0099,10053,2017,False
TA 100,19930709-0100,10052,2021,False
TA 101,19921218-0101,10053,2020,False
TA 102,19910404-0102,10051,2019,False
TA 103,19910403-0103,10042,2017,False
TA 104,19900119-0104,10061,2021,False
TA 105,19900307-0105,10032,2020,False
TA 106,19930414-0106,10072,2018,False
TA 107,19920316-0107,10041,2017,False
TA 108,19921123-0108,10073,2016,False
TA 109,19920917-0109,10033,2018,False
TA 110,19930906-0110,10052,2016,False
TA 111,19901026-0111,10051,2016,False
TA 112,19900430-0112,10071,2016,False
TA 113,19900701-0113,10033,2021,False
TA 114,19900902-0114,10014,2020,False
TA 115,19920505-0115,10032,2016,False
TA 116,19900818-0116,10073,2019,False
TA 117,19930512-0117,10052,2018,False
TA 118,19931226-0118,10031,2020,False
TA 119,19901011-0119,10074,2017,False
TA 120,19921127-0120,10053,2016,False
TA 121,19920320-0121,10013,2016,False
TA 122,19910822-0122,10042,2020,False
TA 123,19900909-0123,10012,2016,False
TA 124,19900616-0124,10001,2017,False
TA 125,19901219-0125,10014,2017,False
TA 126,19900723-0126,10061,2021,False
TA 127,19930616-0127,10041,2016,False
TA 128,19910927-0128,10041,2021,False
TA 129,19921002-0129,10031,2020,False
TA 130,19900801-0130,10014,2018,False
TA 131,19910403-0131,10052,2021,False
TA 132,19930326-0132,10042,2017,False
TA 133,19910101-0133,10014,2016,False
TA 134,19900511-0134,10034,2016,False
TA 135,19930302-0135,10031,2019,False
TA 136,19910921-0136,10072,2020,False
TA 137,19930919-0137,10001,2020,False
TA 138,19900701-0138,10034,2019,False
TA 139,19930221-0139,10052,2021,False
TA 140,19900211-0140,10031,2018,False
